sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
518400;1;0;0.659180858;0;0;1;06.01.2018 23:59
522000;1;0;0.662388983;0.25;1;0;07.01.2018 00:59
525600;1;0;0.665625848;0.25;1;0;07.01.2018 01:59
529200;1;0;0.666711255;0;0;1;07.01.2018 02:59
532800;1;0;0.662388983;0.25;1;0;07.01.2018 03:59
536400;1;0;0.658117806;0.25;1;0;07.01.2018 04:59
540000;1;0;0.651804941;0;0;1;07.01.2018 05:59
543600;1;0;0.64662847;0.25;1;0;07.01.2018 06:59
547200;1;0;0.643558628;0.25;0;1;07.01.2018 07:59
550800;1;0;0.644578935;0.25;0;1;07.01.2018 08:59
554400;1;0;0.654947429;0.25;0;1;07.01.2018 09:59
558000;1;0;0.657057893;0.25;1;0;07.01.2018 10:59
561600;1;0.883743658;0.656001105;0.25;1;0;07.01.2018 11:59
565200;1;0.802023012;0.657057893;0.25;1;0;07.01.2018 12:59
568800;1;0;0.661316433;0.25;1;0;07.01.2018 13:59
572400;1;0;0.658117806;0;0;1;07.01.2018 14:59
576000;1;0;0.660247063;0.25;1;0;07.01.2018 15:59
579600;1;0;0.662388983;0.25;1;0;07.01.2018 16:59
583200;1;0;0.666711255;0;0;1;07.01.2018 17:59
586800;1;0;0.667799912;0.25;1;0;07.01.2018 18:59
590400;1;0;0.668891831;0;0;1;07.01.2018 19:59
594000;1;0;0.668891831;0.25;1;0;07.01.2018 20:59
597600;1;0;0.673292431;0.25;1;0;07.01.2018 21:59
601200;1;0;0.675512685;0;0;1;07.01.2018 22:59
604800;1;0;0.674400883;0;0;1;07.01.2018 23:59
608400;1;0;0.966759954;0;1;0;08.01.2018 00:59
612000;1;0;0.976516968;0;1;0;08.01.2018 01:59
615600;1;0;0.983122486;0;1;0;08.01.2018 02:59
619200;1;0;0.991495409;0;1;0;08.01.2018 03:59
622800;1;0;0.996582171;0;1;0;08.01.2018 04:59
626400;1;0;0.991495409;0;0;1;08.01.2018 05:59
630000;1;0;0.996582171;0;0;1;08.01.2018 06:59
633600;1;0;1;0;0;1;08.01.2018 07:59
637200;1;0.5;1;0;1;0;08.01.2018 08:59
640800;1;1;1;0;1;0;08.01.2018 09:59
644400;1;1;1;0;1;0;08.01.2018 10:59
648000;1;0.692454915;1;0;1;0;08.01.2018 11:59
651600;1;0.5;1;0;1;0;08.01.2018 12:59
655200;1;0.5;1;0;1;0;08.01.2018 13:59
658800;1;0;1;0;1;0;08.01.2018 14:59
662400;1;0;1;0;1;0;08.01.2018 15:59
666000;1;0;1;0;1;0;08.01.2018 16:59
669600;1;0;1;0;1;0;08.01.2018 17:59
673200;1;0;1;0;1;0;08.01.2018 18:59
676800;1;0;1;0;1;0;08.01.2018 19:59
680400;1;0;0.989810387;0;1;0;08.01.2018 20:59
684000;1;0;0.683390357;0;0;1;08.01.2018 21:59
687600;1;0;0.679993693;0;0;1;08.01.2018 22:59
691200;1;0;0.679993693;0;0;1;08.01.2018 23:59
694800;1;0;0.678868342;0;0;1;09.01.2018 00:59
698400;1;0;0.671085518;0;0;1;09.01.2018 01:59
702000;1;0;0.671085518;0;0;1;09.01.2018 02:59
705600;1;0;0.669987029;0;0;1;09.01.2018 03:59
709200;1;0;0.671085518;0;0;1;09.01.2018 04:59
712800;1;0;0.667799912;0;0;1;09.01.2018 05:59
716400;1;0;0.663464726;0;0;1;09.01.2018 06:59
720000;1;0;0.665625848;0.25;1;0;09.01.2018 07:59
723600;1;0.594786271;0.668891831;0.25;1;0;09.01.2018 08:59
727200;1;0.739118057;0.678868342;0;0;1;09.01.2018 09:59
730800;1;1;0.966759954;0;0;1;09.01.2018 10:59
734400;1;0.650732765;0.969992363;0;1;0;09.01.2018 11:59
738000;1;0.601681106;0.968373686;0;1;0;09.01.2018 12:59
741600;1;0.66119929;0.969992363;0;1;0;09.01.2018 13:59
745200;1;0;0.682254686;0;0;1;09.01.2018 14:59
748800;1;0;0.966759954;0;1;0;09.01.2018 15:59
752400;1;0;0.683390357;0;0;1;09.01.2018 16:59
756000;1;0;0.6777464;0.25;1;0;09.01.2018 17:59
759600;1;0;0.676627853;0.25;1;0;09.01.2018 18:59
763200;1;0;0.674400883;0.25;1;0;09.01.2018 19:59
766800;1;0;0.674400883;0;0;1;09.01.2018 20:59
770400;1;0;0.672187314;0;0;1;09.01.2018 21:59
774000;1;0;0.673292431;0.25;1;0;09.01.2018 22:59
777600;1;0;0.673292431;0;0;1;09.01.2018 23:59
781200;1;0;0.673292431;0.25;1;0;10.01.2018 00:59
784800;1;0;0.668891831;0;0;1;10.01.2018 01:59
788400;1;0;0.665625848;0.25;1;0;10.01.2018 02:59
792000;1;0;0.665625848;0.25;1;0;10.01.2018 03:59
