sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
655200;-1;-1;-1;-1;-1;-1;08.01.2018 13:59
658800;-1;-1;-1;-1;-1;-1;08.01.2018 14:59
662400;-1;-1;-1;-1;-1;-1;08.01.2018 15:59
666000;-1;-1;-1;-1;-1;-1;08.01.2018 16:59
669600;-1;-1;-1;-1;-1;-1;08.01.2018 17:59
673200;-1;-1;-1;-1;-1;-1;08.01.2018 18:59
676800;-1;-1;-1;-1;-1;-1;08.01.2018 19:59
680400;-1;-1;-1;-1;-1;-1;08.01.2018 20:59
684000;-1;-1;-1;-1;-1;-1;08.01.2018 21:59
687600;-1;-1;-1;-1;-1;-1;08.01.2018 22:59
691200;-1;-1;-1;-1;-1;-1;08.01.2018 23:59
694800;-1;-1;-1;-1;-1;-1;09.01.2018 00:59
698400;-1;-1;-1;-1;-1;-1;09.01.2018 01:59
702000;-1;-1;-1;-1;-1;-1;09.01.2018 02:59
705600;-1;-1;-1;-1;-1;-1;09.01.2018 03:59
709200;-1;-1;-1;-1;-1;-1;09.01.2018 04:59
712800;-1;-1;-1;-1;-1;-1;09.01.2018 05:59
716400;-1;-1;-1;-1;-1;-1;09.01.2018 06:59
720000;-1;-1;-1;-1;-1;-1;09.01.2018 07:59
723600;-1;-1;-1;-1;-1;-1;09.01.2018 08:59
727200;-1;-1;-1;-1;-1;-1;09.01.2018 09:59
730800;-1;-1;-1;-1;-1;-1;09.01.2018 10:59
734400;-1;-1;-1;-1;-1;-1;09.01.2018 11:59
738000;-1;-1;-1;-1;-1;-1;09.01.2018 12:59
741600;-1;-1;-1;-1;-1;-1;09.01.2018 13:59
745200;-1;-1;-1;-1;-1;-1;09.01.2018 14:59
748800;-1;-1;-1;-1;-1;-1;09.01.2018 15:59
752400;-1;-1;-1;-1;-1;-1;09.01.2018 16:59
756000;-1;-1;-1;-1;-1;-1;09.01.2018 17:59
759600;-1;-1;-1;-1;-1;-1;09.01.2018 18:59
