#1	
double tab1(8760,2)   # comment line	
1749600	0.000108568
1753200	0.00012039
1756800	0.000134848
1760400	0.000139021
1764000	0.000138502
1767600	0.000138567
1771200	0.000140585
1774800	0.000140092
1778400	0.000139253
1782000	0.000137933
1785600	0.000136879
1789200	0.000136156
1792800	0.000141312
1796400	0.000143731
1800000	0.000142008
1803600	0.000135122
1807200	0.000128749
1810800	0.000124588
1814400	0.000115896
1818000	0.000108646
1821600	0.000104872
1825200	0.000101949
1828800	0.000101796
1832400	0.00010295
1836000	0.00010732
1839600	0.000119314
1843200	0.000133571
1846800	0.000138987
1850400	0.000139191
1854000	0.000139419
1857600	0.000140041
1861200	0.000136248
1864800	0.000134068
1868400	0.000132666
1872000	0.000131449
1875600	0.000131185
1879200	0.000137888
1882800	0.000140114
1886400	0.000137202
1890000	0.000130083
1893600	0.000123593
1897200	0.000121448
1900800	0.000114031
1904400	0.000107271
1908000	0.000103065
1911600	0.000100054
1915200	9.86E-05
1918800	9.80E-05
1922400	9.67E-05
1926000	9.59E-05
1929600	0.00010223
1933200	0.00011031
1936800	0.000116428
1940400	0.000119895
1944000	0.000122042
1947600	0.000120859
1951200	0.00011687
1954800	0.000113861
1958400	0.000113204
1962000	0.000113865
1965600	0.0001211
1969200	0.000124727
1972800	0.000121833
1976400	0.000114946
1980000	0.000110693
1983600	0.000110961
1987200	0.000105938
1990800	9.99E-05
1994400	9.54E-05
1998000	9.24E-05
2001600	9.08E-05
2005200	9.00E-05
2008800	8.76E-05
2012400	8.41E-05
2016000	8.60E-05
2019600	9.12E-05
2023200	9.75E-05
2026800	0.000102447
2030400	0.000107543
2034000	0.000107559
2037600	0.000103787
2041200	0.000100824
2044800	0.000100124
2048400	0.000101485
2052000	0.000110024
2055600	0.000116274
2059200	0.000116037
2062800	0.000111995
2066400	0.000109162
2070000	0.000110275
2073600	0.000105533
2077200	9.93E-05
2080800	9.54E-05
2084400	9.37E-05
2088000	9.30E-05
2091600	9.55E-05
2095200	0.000100969
2098800	0.000113073
2102400	0.000125933
2106000	0.000130792
2109600	0.000132687
2113200	0.000135165
2116800	0.000137652
2120400	0.000137155
2124000	0.000136132
2127600	0.000133776
2131200	0.000132441
2134800	0.000130966
2138400	0.00013675
2142000	0.000140333
2145600	0.000138416
2149200	0.000132343
2152800	0.000126942
2156400	0.000123552
2160000	0.000115245
2163600	0.0001088
2167200	0.000104559
2170800	0.000102784
2174400	0.000102289
2178000	0.000103697
2181600	0.000108728
2185200	0.000121399
2188800	0.000135053
2192400	0.0001392
2196000	0.000139893
2199600	0.000141281
2203200	0.000142188
2206800	0.000141304
2210400	0.000141087
2214000	0.000139795
2217600	0.000138297
2221200	0.000137196
2224800	0.000144275
2228400	0.000147184
2232000	0.000144943
2235600	0.000138553
2239200	0.000132963
2242800	0.000130558
2246400	0.000124271
2250000	0.000119054
2253600	0.000114977
2257200	0.00011225
2260800	0.000109455
2264400	0.000109266
2268000	0.000113331
2271600	0.000125325
2275200	0.000139419
2278800	0.000143064
2282400	0.000143455
2286000	0.000144668
2289600	0.000146361
2293200	0.00014589
2296800	0.000145856
2300400	0.000145029
2304000	0.000144404
2307600	0.00014467
2311200	0.000153412
2314800	0.000157237
2318400	0.000154419
2322000	0.00014676
2325600	0.000140853
2329200	0.000137875
2332800	0.000131082
2336400	0.000124256
2340000	0.00012014
2343600	0.00011654
2347200	0.000114356
2350800	0.000113534
2354400	0.000116536
2358000	0.000127423
2361600	0.000140364
2365200	0.000144347
2368800	0.000145176
2372400	0.000147137
2376000	0.000149693
2379600	0.000149853
2383200	0.000148612
2386800	0.000146449
2390400	0.000144672
2394000	0.00014202
2397600	0.000146652
2401200	0.000149718
2404800	0.000146091
2408400	0.000138811
2412000	0.000132122
2415600	0.000128692
2419200	0.000121021
2422800	0.000114645
2426400	0.000109367
2430000	0.000106188
2433600	0.000105388
2437200	0.000105609
2440800	0.000109665
2444400	0.000120065
2448000	0.000133258
2451600	0.000137881
2455200	0.000139459
2458800	0.000140252
2462400	0.000140943
2466000	0.000140125
2469600	0.000137486
2473200	0.000134861
2476800	0.000133293
2480400	0.000132415
2484000	0.000139517
2487600	0.000141764
2491200	0.000138461
2494800	0.000130247
2498400	0.000125284
2502000	0.000123794
