#1	
double tab1(17521,2)   # comment line	
547200	20.79666667
550799	20.79666667
550800	25.08866667
554399	25.08866667
554400	26.80066667
557999	26.80066667
558000	31.93666667
561599	31.93666667
561600	30.164
565199	30.164
565200	27.48333333
568799	27.48333333
568800	25.922
572399	25.922
572400	27.37533333
575999	27.37533333
576000	32.77
579599	32.77
579600	38.32066667
583199	38.32066667
583200	42.382
586799	42.382
586800	39.57466667
590399	39.57466667
590400	35.99466667
593999	35.99466667
594000	31.056
597599	31.056
597600	31.85133333
601199	31.85133333
601200	28.31
604799	28.31
604800	26.072
608399	26.072
608400	23.71933333
611999	23.71933333
612000	23.31133333
615599	23.31133333
615600	22.72333333
619199	22.72333333
619200	22.996
622799	22.996
622800	25.68933333
626399	25.68933333
626400	37.196
629999	37.196
630000	50.78266667
633599	50.78266667
633600	52.78466667
637199	52.78466667
637200	51.08733333
640799	51.08733333
640800	49.988
644399	49.988
644400	49.564
647999	49.564
648000	50.086
651599	50.086
651600	50.01466667
655199	50.01466667
655200	48.41466667
658799	48.41466667
658800	47.54466667
662399	47.54466667
662400	48.266
665999	48.266
666000	54.04733333
669599	54.04733333
669600	49.36266667
673199	49.36266667
673200	43.17133333
676799	43.17133333
676800	35.73533333
680399	35.73533333
680400	31.022
683999	31.022
684000	30.142
687599	30.142
687600	21.40733333
691199	21.40733333
691200	19.172
694799	19.172
694800	18.46933333
698399	18.46933333
698400	16.33066667
701999	16.33066667
702000	13.956
705599	13.956
705600	16.22333333
709199	16.22333333
709200	19.734
712799	19.734
712800	28.48
716399	28.48
716400	36.63133333
719999	36.63133333
720000	41.66933333
723599	41.66933333
723600	40.84
727199	40.84
727200	40.708
730799	40.708
730800	41.68333333
734399	41.68333333
734400	43.212
737999	43.212
738000	44.36533333
741599	44.36533333
741600	44.31866667
745199	44.31866667
745200	45.81866667
748799	45.81866667
748800	46.98266667
752399	46.98266667
752400	55.89333333
755999	55.89333333
756000	57.87733333
759599	57.87733333
759600	46.42533333
763199	46.42533333
763200	41.04933333
766799	41.04933333
766800	36.214
770399	36.214
770400	31.83933333
773999	31.83933333
774000	28.44
777599	28.44
777600	29.394
781199	29.394
781200	27.546
784799	27.546
784800	26.15266667
788399	26.15266667
788400	25.402
791999	25.402
792000	25.44466667
795599	25.44466667
795600	27.87933333
799199	27.87933333
799200	32.57466667
802799	32.57466667
802800	43.14
806399	43.14
806400	44.62933333
809999	44.62933333
810000	43.13466667
