HOUR;E_th_RH_HH;E_th_TWE_HH;E_el_HH;E_th_RH_GHD;E_th_TWE_GHD;E_el_GHD;E_th_KL_GHD;E_th_loss
26979300;149.7131503;54.76411992;22.09706413;103.8751048;0.885839821;54.73578501;0;0
26980200;145.6826552;49.52088059;23.56919873;103.6283318;0.902249366;63.08397635;0;0
26981100;170.1639087;57.02534284;25.8595978;103.8470435;0.915973986;69.32576168;0;0
26982000;173.1157211;51.21867713;26.80487633;104.1023981;0.955324229;74.58782313;0;0
26982900;161.9476521;44.14330867;26.70636607;106.3454429;1.258404734;78.39484922;0;0
26983800;161.4616613;44.51666835;27.23832695;106.2379311;1.272775871;81.59172661;0;0
26984700;160.0494627;39.45631174;28.47006803;106.1221285;1.293362801;84.0062481;0;0
26985600;163.50356;73.41474899;29.61530796;106.8232539;1.336296636;85.79802843;0;0
26986500;156.7070358;59.54842078;30.51644632;106.759928;1.309298842;87.25890327;0;0
26987400;144.8161231;42.42024118;31.73109942;106.9364963;1.323198089;88.4686171;0;0
26988300;150.1993783;51.91740332;32.11587316;106.7205177;1.316335779;89.38015932;0;0
26989200;149.6987162;50.58027938;31.61294189;106.6807816;1.361026774;89.92336136;0;0
26990100;152.1955043;53.94530782;31.23785273;106.4396161;1.515971055;90.00608406;0;0
26991000;150.4298658;35.91529293;34.95469257;106.4881226;1.528980458;89.60695697;0;0
26991900;148.2866465;26.05744022;33.83646913;106.3882474;1.542705078;88.70908345;0;0
26992800;147.5186725;34.47738622;33.18611752;106.251813;1.533780733;87.3119938;0;0
26993700;146.200772;37.48946825;32.72845933;106.2210313;1.442809696;85.35879377;0;0
26994600;148.3701344;65.60192952;31.19753699;106.018826;1.444643318;82.86174815;0;0
26995500;153.6971819;68.99675607;31.12131618;105.883001;1.434349853;79.77130825;0;0
26996400;158.5851601;43.28442756;30.55292945;105.7466589;1.461157523;76.08171785;0;0
26997300;147.1080457;44.08059671;30.16351491;105.7124645;1.387089411;71.84721824;0;0
26998200;145.8672221;38.59860341;31.18747871;105.5599344;1.392113255;67.58431372;0;0
26999100;145.5187482;42.48700322;29.18016761;105.5162011;1.3886821;63.89282396;0;0
27000000;145.8105609;38.4211692;31.08309322;105.4186295;1.36275301;61.46818629;0;0
27000900;148.6358201;21.80938283;31.61078777;105.3701721;1.177524122;60.8080656;0;0
27001800;146.1462933;16.78382315;33.01324038;105.418013;1.173183449;61.52390107;0;0
27002700;143.6951845;14.00124767;33.58682044;105.4398203;1.159458829;62.95691316;0;0
27003600;143.1649027;12.83402422;31.58136513;105.5138198;1.14424588;64.23573919;0;0
27004500;145.7443066;18.92575736;30.66777976;104.7555887;1.016299394;64.67434698;0;0
27005400;148.2916572;11.76953233;29.92355655;104.848517;1.010171177;64.15667904;0;0
27006300;166.3017253;15.1611005;28.84269427;104.7590895;1.003308867;62.85183593;0;0
27007200;171.2888395;17.37874128;26.63157793;104.9881739;0.967542216;60.98170825;0;0
